Strategy,Trade_Number,Position_ID,Opening_Time,Closing_Time,Position_Type,Trade_Rule,Entry_Price,Exit_Price,Price_Difference,PnL,Position_Size_USD,Return_Percent,Holding_Period,Result,Signal_Strength,Predicted_Price,Shares,Open_Action,Close_Action,Debug_Info
Conservative,1,P1,2024-03-25 03:15:00,2024-03-28 12:45:00,LONG,DIRECT_LONG,2171.26,2215.6,44.35,1.65,80.7,2.04,0.0,SUCCESS,0.22951525549506677,2669.5948346157074,0.0372,OPEN_LONG_P1,CLOSE_LONG_P1,"ID:P1, Rule:DIRECT_LONG, Type:LONG, Shares:0.0372, PnL:$1.65, Status:CLOSED"
Conservative,2,P2,2024-03-25 03:45:00,2024-03-28 12:45:00,LONG,DIRECT_LONG,2170.49,2215.6,45.11,1.68,80.71,2.08,0.0,SUCCESS,0.2242188012384184,2657.1607869939808,0.0372,OPEN_LONG_P2,CLOSE_LONG_P2,"ID:P2, Rule:DIRECT_LONG, Type:LONG, Shares:0.0372, PnL:$1.68, Status:CLOSED"
Conservative,3,P3,2024-03-25 04:15:00,2024-03-28 12:45:00,LONG,DIRECT_LONG,2170.49,2215.6,45.12,1.68,80.7,2.08,0.0,SUCCESS,0.22336202340184508,2655.288921363354,0.0372,OPEN_LONG_P3,CLOSE_LONG_P3,"ID:P3, Rule:DIRECT_LONG, Type:LONG, Shares:0.0372, PnL:$1.68, Status:CLOSED"
Conservative,4,P4,2024-04-01 08:15:00,2024-04-01 14:15:00,LONG,DIRECT_LONG,2257.57,2232.96,-24.62,-0.89,81.27,-1.09,0.0,FAILED,0.07784060839168963,2433.3060114898685,0.036,OPEN_LONG_P4,CLOSE_LONG_P4,"ID:P4, Rule:DIRECT_LONG, Type:LONG, Shares:0.0360, PnL:$-0.89, Status:CLOSED"
Conservative,5,P5,2024-04-02 23:45:00,2024-04-05 15:45:00,LONG,DIRECT_LONG,2279.84,2326.08,46.24,1.64,81.06,2.03,0.0,SUCCESS,0.07077850148233811,2118.4809872879987,0.0356,OPEN_LONG_P5,CLOSE_LONG_P5,"ID:P5, Rule:DIRECT_LONG, Type:LONG, Shares:0.0356, PnL:$1.64, Status:CLOSED"
Conservative,6,P6,2024-04-03 03:45:00,2024-04-08 02:45:00,LONG,DIRECT_LONG,2284.99,2348.02,63.03,2.24,81.12,2.76,0.0,SUCCESS,0.0779069173976085,2106.9688623502257,0.0355,OPEN_LONG_P6,CLOSE_LONG_P6,"ID:P6, Rule:DIRECT_LONG, Type:LONG, Shares:0.0355, PnL:$2.24, Status:CLOSED"
Conservative,7,P7,2024-04-03 23:45:00,2024-04-05 01:15:00,LONG,DIRECT_LONG,2297.45,2270.54,-26.9,-0.95,81.03,-1.17,0.0,FAILED,0.07488825110569486,2125.393361938477,0.0353,OPEN_LONG_P7,CLOSE_LONG_P7,"ID:P7, Rule:DIRECT_LONG, Type:LONG, Shares:0.0353, PnL:$-0.95, Status:CLOSED"
Conservative,8,P8,2024-04-05 05:15:00,2024-04-05 15:45:00,LONG,DIRECT_LONG,2279.82,2326.08,46.26,1.64,80.88,2.03,0.0,SUCCESS,0.07113203557434132,2117.656406996727,0.0355,OPEN_LONG_P8,CLOSE_LONG_P8,"ID:P8, Rule:DIRECT_LONG, Type:LONG, Shares:0.0355, PnL:$1.64, Status:CLOSED"
Conservative,9,P9,2024-04-08 01:15:00,2024-04-09 09:15:00,LONG,DIRECT_LONG,2313.43,2364.72,51.28,1.8,81.25,2.22,0.0,SUCCESS,0.08736470805997229,2111.322426609278,0.0351,OPEN_LONG_P9,CLOSE_LONG_P9,"ID:P9, Rule:DIRECT_LONG, Type:LONG, Shares:0.0351, PnL:$1.80, Status:CLOSED"
Conservative,10,P10,2024-04-08 01:45:00,2024-04-10 00:00:00,LONG,DIRECT_LONG,2324.18,2353.62,29.44,1.03,81.27,1.27,0.0,SUCCESS,0.08440096184236924,2128.021550500393,0.035,OPEN_LONG_P10,CLOSE_LONG_P10,"ID:P10, Rule:DIRECT_LONG, Type:LONG, Shares:0.0350, PnL:$1.03, Status:CLOSED"
Conservative,11,P11,2024-04-08 03:45:00,2024-04-10 00:00:00,LONG,DIRECT_LONG,2345.43,2353.62,8.2,0.29,81.52,0.35,0.0,SUCCESS,0.08496435990529695,2146.147466169119,0.0348,OPEN_LONG_P11,CLOSE_LONG_P11,"ID:P11, Rule:DIRECT_LONG, Type:LONG, Shares:0.0348, PnL:$0.29, Status:CLOSED"
Conservative,12,P12,2024-04-09 09:15:00,2024-04-09 15:45:00,LONG,DIRECT_LONG,2364.72,2340.22,-24.49,-0.85,81.68,-1.04,0.0,FAILED,0.09779864576115581,2133.4490753889086,0.0345,OPEN_LONG_P12,CLOSE_LONG_P12,"ID:P12, Rule:DIRECT_LONG, Type:LONG, Shares:0.0345, PnL:$-0.85, Status:CLOSED"
Conservative,13,P13,2024-04-09 23:15:00,2024-04-10 00:00:00,LONG,DIRECT_LONG,2352.91,2353.62,0.72,0.02,81.54,0.03,0.0,SUCCESS,0.11094952733359617,2613.9586976108553,0.0347,OPEN_LONG_P13,CLOSE_LONG_P13,"ID:P13, Rule:DIRECT_LONG, Type:LONG, Shares:0.0347, PnL:$0.02, Status:CLOSED"
