Strategy,Trade_Number,Position_ID,Opening_Time,Closing_Time,Position_Type,Trade_Rule,Entry_Price,Exit_Price,Price_Difference,PnL,Position_Size_USD,Return_Percent,Holding_Period,Result,Signal_Strength,Predicted_Price,Shares,Open_Action,Close_Action,Debug_Info
Moderate,1,P1,2025-04-08 02:00:00,2025-04-09 11:30:00,LONG,DIRECT_LONG,3002.28,3062.8,60.52,4.03,200.0,2.02,0.0,SUCCESS,0.04820945359518378,3147.0130372924805,0.0666,OPEN_LONG_P1,CLOSE_LONG_P1,"ID:P1, Rule:DIRECT_LONG, Type:LONG, Shares:0.0666, PnL:$4.03, Status:CLOSED"
Moderate,2,P2,2025-04-08 02:30:00,2025-04-09 13:30:00,LONG,DIRECT_LONG,3003.39,3072.6,69.21,4.61,200.0,2.3,0.0,SUCCESS,0.04888832561045101,3150.2259526968005,0.0666,OPEN_LONG_P2,CLOSE_LONG_P2,"ID:P2, Rule:DIRECT_LONG, Type:LONG, Shares:0.0666, PnL:$4.61, Status:CLOSED"
Moderate,3,P3,2025-04-08 03:00:00,2025-04-09 11:30:00,LONG,DIRECT_LONG,2995.2,3062.8,67.6,4.51,200.0,2.26,0.0,SUCCESS,0.04113218856183528,3118.3939255194664,0.0668,OPEN_LONG_P3,CLOSE_LONG_P3,"ID:P3, Rule:DIRECT_LONG, Type:LONG, Shares:0.0668, PnL:$4.51, Status:CLOSED"
Moderate,4,P4,2025-04-10 02:00:00,2025-04-10 15:30:00,LONG,DIRECT_LONG,3105.03,3167.9,62.86,4.1,202.63,2.02,0.0,SUCCESS,0.04090565235672793,3232.0484822654726,0.0653,OPEN_LONG_P4,CLOSE_LONG_P4,"ID:P4, Rule:DIRECT_LONG, Type:LONG, Shares:0.0653, PnL:$4.10, Status:CLOSED"
Moderate,5,P5,2025-04-10 02:30:00,2025-04-10 22:00:00,LONG,DIRECT_LONG,3113.72,3179.52,65.8,4.28,202.63,2.11,0.0,SUCCESS,0.044242869805018244,3251.4851297836303,0.0651,OPEN_LONG_P5,CLOSE_LONG_P5,"ID:P5, Rule:DIRECT_LONG, Type:LONG, Shares:0.0651, PnL:$4.28, Status:CLOSED"
Moderate,6,P6,2025-04-10 08:00:00,2025-04-10 18:30:00,LONG,DIRECT_LONG,3110.82,3173.6,62.79,4.09,202.63,2.02,0.0,SUCCESS,0.04018087175737436,3235.8102585759166,0.0651,OPEN_LONG_P6,CLOSE_LONG_P6,"ID:P6, Rule:DIRECT_LONG, Type:LONG, Shares:0.0651, PnL:$4.09, Status:CLOSED"
Moderate,7,P7,2025-04-10 15:30:00,2025-04-11 00:30:00,SHORT,DIRECT_SHORT,3167.89,3212.2,44.3,-2.85,203.45,-1.4,0.0,FAILED,0.048931165926190116,3012.886204118252,0.0642,OPEN_SHORT_P7,CLOSE_SHORT_P7,"ID:P7, Rule:DIRECT_SHORT, Type:SHORT, Shares:0.0642, PnL:$-2.85, Status:CLOSED"
Moderate,8,P8,2025-04-10 18:30:00,2025-04-11 13:30:00,LONG,DIRECT_LONG,3173.61,3240.1,66.5,4.28,204.27,2.1,0.0,SUCCESS,0.05238013428608632,3007.371143929005,0.0644,OPEN_LONG_P8,CLOSE_LONG_P8,"ID:P8, Rule:DIRECT_LONG, Type:LONG, Shares:0.0644, PnL:$4.28, Status:CLOSED"
Moderate,9,P9,2025-04-10 22:00:00,2025-04-11 00:30:00,SHORT,DIRECT_SHORT,3179.53,3212.2,32.67,-2.11,205.13,-1.03,0.0,FAILED,0.046512705060357526,3031.636691442967,0.0645,OPEN_SHORT_P9,CLOSE_SHORT_P9,"ID:P9, Rule:DIRECT_SHORT, Type:SHORT, Shares:0.0645, PnL:$-2.11, Status:CLOSED"
Moderate,10,P10,2025-04-11 00:30:00,2025-04-16 00:00:00,SHORT,DIRECT_SHORT,3212.2,3255.64,43.44,-2.76,204.14,-1.35,0.0,FAILED,0.0534239634644337,3040.5868116793636,0.0636,OPEN_SHORT_P10,CLOSE_SHORT_P10,"ID:P10, Rule:DIRECT_SHORT, Type:SHORT, Shares:0.0636, PnL:$-2.76, Status:CLOSED"
Moderate,11,P11,2025-04-11 10:00:00,2025-04-16 01:00:00,SHORT,DIRECT_SHORT,3234.47,3269.38,34.91,-2.2,204.14,-1.08,0.0,FAILED,0.05699442705710554,3050.1185204887393,0.0631,OPEN_SHORT_P11,CLOSE_SHORT_P11,"ID:P11, Rule:DIRECT_SHORT, Type:SHORT, Shares:0.0631, PnL:$-2.20, Status:CLOSED"
Moderate,12,P12,2025-04-11 13:30:00,2025-04-16 03:30:00,SHORT,DIRECT_SHORT,3240.11,3276.08,35.98,-2.28,204.99,-1.11,0.0,FAILED,0.070570590545103,3011.448876721859,0.0633,OPEN_SHORT_P12,CLOSE_SHORT_P12,"ID:P12, Rule:DIRECT_SHORT, Type:SHORT, Shares:0.0633, PnL:$-2.28, Status:CLOSED"
Moderate,13,P13,2025-04-16 00:00:00,2025-04-16 05:30:00,SHORT,DIRECT_SHORT,3255.64,3288.68,33.05,-2.08,204.44,-1.02,0.0,FAILED,0.04999243166973062,3092.8778897209168,0.0628,OPEN_SHORT_P13,CLOSE_SHORT_P13,"ID:P13, Rule:DIRECT_SHORT, Type:SHORT, Shares:0.0628, PnL:$-2.08, Status:CLOSED"
