Strategy,Total_Trades,Successful_Trades,Failed_Trades,Win_Rate,Avg_Profit_Win,Avg_Loss_Lose,Final_Capital,Total_Return_Pct,Max_Drawdown_Pct,Uncertainty_Scaling,Base_Position_Size
Ultra Conservative,6,5,1,83.33333333333334,0.48,-0.14,1002.2537777058553,0.22537777058553277,0.0,True,5.0
Conservative,13,10,3,76.92307692307693,1.3669999999999998,-0.8966666666666666,1010.985571866472,1.0985571866472015,0.18259472047777628,True,10.0
Moderate,16,11,5,68.75,3.491818181818182,-1.786,1029.4729050312478,2.947290503124782,0.19445137144435048,True,20.0
Aggressive,20,13,7,65.0,4.963846153846154,-3.1900000000000004,1042.2029862221505,4.220298622215045,1.8728552566752998,True,30.0
