Epoch,Test Loss,Test Log Likelihood,Epistemic,Aleatoric,MSE,R²,RMSE,MAE,RMAE,Train Time,Test Time
0,1.9369971752166748,-1.0865068435668945,1.339264988899231,1.0800209045410156,0.0620558480322361,-0.09880751287937165,0.24911002919077874,0.22770186430215836,0.47718111488223075,0,463.0451054573059
1000,0.0520535446703434,0.3012414872646332,0.03994150459766388,0.06645547598600388,0.0018607066022232174,0.9670529294610023,0.04313590624928475,0.033220299359411,0.18226436176896096,475.00451254844666,459.4103946685791
2000,-0.06805066019296646,0.38111186027526855,0.03175732493400574,0.05684361606836319,0.0014849186409264803,0.9737069010734558,0.03853464126586914,0.027685338631272316,0.1663891226053238,475.48272037506104,471.69260334968567
3000,-0.12657347321510315,0.40958595275878906,0.028772322461009026,0.054099190980196,0.0012848215410485864,0.9772499799728394,0.035844407975673676,0.02453915774822235,0.15664979815483093,482.38382363319397,481.1973924636841
4000,-0.18884459137916565,0.44085729122161865,0.02635572850704193,0.05083335191011429,0.0010852851826930418,0.9807831117510796,0.03294366795942187,0.021195952128618956,0.14558829481899738,494.24840474128723,482.30237793922424
