Feature,PCA_Importance,Price_Correlation_Abs,PC1_Contribution_Abs,PC2_Contribution_Abs,Combined_Score
macd,1.0,0.16201663734599905,0.368220959403154,0.5562625882313962,0.5384508468190304
stoch_k,0.9940902795888131,0.02282350526097878,0.4523517887039875,0.29653161672847617,0.49723587168071426
momentum_5,0.9721277169106791,0.06609215812578183,0.3613958129205611,0.27824758233893626,0.4875671125986966
bb_position,0.9541334469947518,0.01174251157710727,0.48445813216869604,0.22963186784590203,0.48324200986248284
macd_signal,0.8956057904058086,0.1613687876060067,0.2535266962952229,0.684070084576832,0.4734951704637707
rsi,0.8811498752821644,0.05531825455021892,0.4798007744442045,0.06735384765319029,0.4705474068217943
