time,open,high,low,close
1743778800.0,3038.065,3050.095,3030.735,3043.625
1743779700.0,3043.855,3044.265,3023.375,3025.948
1743780600.0,3025.948,3035.048,3016.981,3017.635
1743781500.0,3017.438,3024.885,3016.518,3019.745
1743782400.0,3021.775,3025.835,3016.925,3022.115
1743783300.0,3022.025,3032.215,3020.595,3030.435
1743784200.0,3030.415,3036.685,3026.465,3032.385
1743785100.0,3032.405,3032.565,3028.985,3030.675
1743786000.0,3030.715,3032.715,3024.305,3027.025
1743786900.0,3027.045,3027.745,3016.935,3018.235
1743787800.0,3018.048,3028.355,3015.335,3023.648
1743788700.0,3023.648,3026.405,3022.455,3025.675
1743789600.0,3025.498,3027.745,3022.035,3024.065
1743790500.0,3024.065,3025.495,3021.375,3024.385
1743791400.0,3024.415,3025.915,3021.255,3021.815
1743792300.0,3021.815,3025.795,3017.818,3025.305
1743793200.0,3025.395,3027.585,3021.995,3023.565
1743794100.0,3023.555,3034.498,3021.835,3028.385
1743795000.0,3028.365,3031.298,3027.478,3029.845
1743795900.0,3029.865,3040.765,3029.815,3036.375
1743796800.0,3036.315,3038.425,3033.755,3038.425
1743797700.0,3038.235,3040.815,3035.635,3037.935
1743798600.0,3037.935,3038.268,3035.405,3035.698
1743799500.0,3035.675,3039.698,3034.395,3037.998
1743976800.0,3006.765,3032.185,2996.625,3031.705
1743977700.0,3031.705,3031.765,2997.448,3014.405
1743978600.0,3014.348,3021.075,3006.275,3015.648
1743979500.0,3015.705,3016.745,3002.005,3009.005
1743980400.0,3008.818,3016.198,3003.798,3008.498
1743981300.0,3008.298,3008.398,2981.798,2984.865
1743982200.0,2984.975,2990.355,2976.585,2987.225
1743983100.0,2987.225,3001.748,2984.105,2999.548
1743984000.0,2999.548,3008.995,2970.305,2981.315
1743984900.0,2981.305,2991.005,2975.495,2984.905
1743985800.0,2984.955,2992.275,2979.345,2982.655
1743986700.0,2982.655,2988.175,2972.548,2978.648
1743987600.0,2978.648,3008.455,2971.548,3005.748
1743988500.0,3005.709,3020.625,3004.095,3018.875
1743989400.0,3018.785,3054.645,3015.995,3051.445
1743990300.0,3051.445,3055.18,3035.915,3037.855
1743991200.0,3037.845,3055.115,3035.655,3052.415
1743992100.0,3052.405,3053.155,3039.308,3042.085
1743993000.0,3042.095,3044.548,3026.635,3031.895
1743993900.0,3032.315,3035.775,3023.675,3025.545
1743994800.0,3025.535,3030.015,3021.345,3025.985
1743995700.0,3025.985,3030.948,3025.255,3029.625
1743996600.0,3029.285,3033.698,3025.665,3026.765
1743997500.0,3026.695,3028.798,3016.255,3018.605
1743998400.0,3018.585,3031.598,3018.585,3026.765
1743999300.0,3026.698,3030.045,3023.525,3026.185
1744000200.0,3026.275,3032.805,3024.925,3027.525
1744001100.0,3027.405,3035.435,3025.775,3035.325
1744002000.0,3035.248,3037.828,3024.398,3029.355
1744002900.0,3029.355,3039.935,3029.035,3038.555
1744003800.0,3038.535,3044.295,3033.555,3039.025
1744004700.0,3039.005,3043.195,3031.555,3031.785
1744005600.0,3031.755,3033.398,3022.075,3026.735
1744006500.0,3026.705,3027.775,3016.485,3018.245
1744007400.0,3018.335,3031.055,3018.285,3027.598
1744008300.0,3027.598,3030.448,3018.445,3029.595
1744009200.0,3029.745,3030.535,3013.095,3014.005
1744010100.0,3014.065,3027.025,3013.325,3018.895
1744011000.0,3018.875,3026.098,3018.715,3019.058
1744011900.0,3019.038,3028.788,3015.625,3018.345
1744012800.0,3018.385,3028.048,3017.375,3027.455
1744013700.0,3027.475,3029.848,3022.865,3023.175
1744014600.0,3023.155,3028.498,3020.695,3027.325
1744015500.0,3027.315,3035.248,3026.448,3030.925
1744016400.0,3031.355,3033.245,3025.375,3027.605
1744017300.0,3027.605,3027.605,3019.255,3026.355
1744018200.0,3026.355,3031.455,3023.645,3025.422
1744019100.0,3025.382,3028.658,3019.475,3024.935
1744020000.0,3024.905,3030.515,3023.565,3026.388
1744020900.0,3026.225,3032.798,3025.915,3032.298
1744021800.0,3032.298,3036.178,3031.515,3031.948
1744022700.0,3031.948,3036.248,3029.725,3031.005
1744023600.0,3031.005,3042.015,3030.648,3040.092
1744024500.0,3040.162,3043.898,3038.212,3039.902
1744025400.0,3039.925,3045.965,3038.482,3039.012
1744026300.0,3039.092,3040.168,3029.785,3030.825
1744027200.0,3030.915,3031.375,3024.665,3025.505
1744028100.0,3025.505,3031.348,3024.388,3026.322
1744029000.0,3026.388,3029.998,3014.452,3020.015
1744029900.0,3020.035,3032.648,3019.325,3030.898
1744030800.0,3030.859,3033.818,3024.235,3027.348
1744031700.0,3027.325,3030.148,3021.118,3024.365
1744032600.0,3024.405,3026.495,3001.752,3006.705
1744033500.0,3006.705,3018.898,3003.825,3015.195
1744034400.0,3015.098,3031.965,3010.695,3026.895
1744035300.0,3026.895,3037.545,3003.525,3008.755
1744036200.0,3008.375,3013.505,2996.875,3002.425
1744037100.0,3002.495,3008.955,2996.093,2999.145
1744038000.0,2999.145,3004.693,2983.675,2984.665
1744038900.0,2984.635,2998.853,2984.085,2986.695
1744039800.0,2986.815,2988.485,2980.875,2984.215
1744040700.0,2984.235,2987.885,2979.753,2987.293
1744041600.0,2987.293,2987.593,2976.815,2979.665
1744042500.0,2979.685,2985.175,2975.005,2977.775
1744043400.0,2977.765,2984.635,2974.865,2974.865
1744044300.0,2974.855,2975.415,2969.775,2970.255
1744045200.0,2970.395,2975.025,2959.315,2965.925
1744046100.0,2966.145,2970.515,2956.435,2958.795
1744047000.0,2958.645,2968.595,2956.125,2967.945
1744047900.0,2967.945,2973.475,2965.835,2969.835
1744048800.0,2969.835,2973.255,2969.105,2970.835
1744049700.0,2970.855,2973.905,2968.945,2969.515
1744050600.0,2969.675,2976.455,2968.345,2971.475
1744051500.0,2971.423,2972.195,2963.845,2965.535
1744052400.0,2965.555,2972.625,2965.145,2971.595
1744053300.0,2971.595,2975.255,2969.085,2973.855
1744054200.0,2973.855,2981.885,2973.225,2978.215
1744055100.0,2978.215,2978.655,2974.315,2976.365
1744056000.0,2976.235,2980.385,2969.145,2979.035
1744056900.0,2979.045,2985.815,2979.045,2983.405
1744057800.0,2983.375,2985.845,2982.785,2985.065
1744058700.0,2985.045,2985.065,2981.445,2982.975
1744063200.0,2980.955,2986.175,2980.415,2983.555
1744064100.0,2983.625,2985.565,2982.175,2985.325
1744065000.0,2985.445,2988.255,2983.455,2983.595
1744065900.0,2983.565,2988.435,2983.295,2986.365
1744066800.0,2986.345,2986.955,2984.715,2985.535
1744067700.0,2985.565,2985.615,2981.365,2981.525
1744068600.0,2981.495,2982.955,2978.385,2979.685
1744069500.0,2979.725,2982.975,2979.725,2981.075
1744070400.0,2980.985,2986.925,2980.125,2984.975
1744071300.0,2984.983,2988.785,2983.393,2988.685
1744072200.0,2988.625,2992.485,2988.215,2991.385
1744073100.0,2991.415,2991.555,2982.765,2985.165
1744074000.0,2985.145,3000.715,2983.315,2995.175
1744074900.0,2995.375,2999.695,2989.275,2995.875
1744075800.0,2995.769,3002.865,2994.735,2999.625
1744076700.0,2999.655,3000.975,2995.885,2999.615
1744077600.0,2999.675,3004.505,2998.615,3002.275
1744078500.0,3002.075,3003.135,2998.025,2999.425
1744079400.0,2999.405,3004.595,2998.315,3003.395
1744080300.0,3003.415,3004.025,2999.265,3000.645
1744081200.0,3000.695,3000.865,2992.605,2995.195
1744082100.0,2995.155,3000.385,2993.805,2995.045
1744083000.0,2995.015,2998.195,2994.575,2997.925
1744083900.0,2997.935,2998.795,2993.265,2994.505
1744084800.0,2994.435,2999.575,2994.015,2998.405
1744085700.0,2998.425,2998.665,2994.915,2995.785
1744086600.0,2995.765,2996.925,2990.465,2995.185
1744087500.0,2995.155,3002.705,2994.245,3001.915
1744088400.0,3001.885,3004.255,2999.815,3003.785
1744089300.0,3003.685,3005.065,2999.545,2999.725
1744090200.0,2999.593,3004.965,2999.235,3000.065
1744091100.0,3000.125,3008.045,3000.035,3005.455
1744092000.0,3005.215,3006.225,3002.245,3004.375
1744092900.0,3004.385,3013.355,3004.045,3011.515
1744093800.0,3011.535,3015.555,3010.395,3013.515
1744094700.0,3013.545,3013.865,3010.825,3012.975
1744095600.0,3013.225,3013.252,3008.025,3011.925
1744096500.0,3011.925,3013.605,3007.352,3009.805
1744097400.0,3009.835,3011.295,3001.935,3002.845
1744098300.0,3002.902,3006.375,3001.595,3003.415
1744099200.0,3003.425,3007.875,3001.065,3007.165
1744100100.0,3007.145,3009.165,3006.035,3008.575
1744101000.0,3008.555,3008.885,3003.385,3007.105
1744101900.0,3007.125,3007.855,3003.985,3007.245
1744102800.0,3007.205,3007.205,3002.142,3002.965
1744103700.0,3002.625,3002.955,2994.715,2995.665
1744104600.0,2995.665,3007.485,2995.665,3006.115
1744105500.0,3006.105,3007.665,3003.045,3006.625
1744106400.0,3006.615,3008.455,3003.855,3005.145
1744107300.0,3005.005,3008.525,3004.245,3007.815
1744108200.0,3007.785,3009.675,3005.195,3007.935
1744109100.0,3007.905,3010.075,3006.815,3008.695
1744110000.0,3008.725,3011.535,3008.495,3011.185
1744110900.0,3011.185,3014.005,3010.132,3010.335
1744111800.0,3010.325,3013.175,3008.705,3008.885
1744112700.0,3008.885,3019.345,3008.835,3017.185
1744113600.0,3017.265,3019.225,3013.905,3017.295
1744114500.0,3017.265,3017.305,3002.945,3009.565
1744115400.0,3009.565,3012.725,3006.625,3006.805
1744116300.0,3007.115,3008.375,3002.145,3002.305
1744117200.0,3002.355,3020.275,3002.265,3018.325
1744118100.0,3018.185,3022.485,3012.925,3013.315
1744119000.0,3013.285,3016.925,3006.125,3006.545
1744119900.0,3006.525,3011.615,3003.775,3010.115
1744120800.0,3009.985,3017.715,3008.855,3011.295
1744121700.0,3011.295,3014.595,3008.125,3012.355
1744122600.0,3012.365,3017.455,3009.725,3013.745
1744123500.0,3013.765,3018.015,3005.555,3005.985
1744124400.0,3005.995,3007.775,3002.385,3004.405
1744125300.0,3004.405,3009.775,3004.275,3007.545
1744126200.0,3007.675,3012.155,3004.445,3004.925
1744127100.0,3004.965,3006.055,3000.975,3001.285
1744128000.0,3001.255,3001.255,2994.135,2999.095
1744128900.0,2999.205,2999.275,2992.225,2994.475
1744129800.0,2994.465,2995.733,2984.823,2985.203
1744130700.0,2985.203,2990.685,2984.035,2985.825
1744131600.0,2985.905,2986.235,2976.315,2981.005
1744132500.0,2981.025,2984.075,2975.265,2976.425
1744133400.0,2976.399,2983.565,2974.565,2983.115
1744134300.0,2983.115,2987.335,2981.515,2984.985
1744135200.0,2984.845,2985.485,2979.105,2980.375
1744136100.0,2980.355,2985.785,2979.755,2985.625
