time,open,high,low,close
1730437200.0,2752.095,2752.888,2752.065,2752.385
1730438100.0,2752.435,2752.865,2751.485,2752.005
1730439000.0,2751.965,2753.988,2751.724,2752.975
1730439900.0,2753.008,2755.045,2752.675,2754.825
1730440800.0,2754.855,2757.535,2754.615,2756.545
1730441700.0,2756.525,2756.565,2752.435,2752.705
1730442600.0,2752.705,2754.045,2751.145,2751.615
1730443500.0,2751.565,2753.445,2751.565,2751.858
1730444400.0,2751.855,2753.025,2749.875,2750.225
1730445300.0,2750.225,2751.895,2749.715,2750.005
1730446200.0,2749.985,2750.455,2747.055,2747.195
1730447100.0,2747.195,2749.605,2747.135,2749.555
1730448000.0,2749.535,2752.765,2748.455,2752.355
1730448900.0,2752.345,2754.338,2751.535,2753.978
1730449800.0,2753.988,2754.948,2751.775,2754.655
1730450700.0,2754.655,2754.655,2751.295,2753.335
1730451600.0,2753.335,2755.045,2752.225,2754.985
1730452500.0,2754.985,2755.345,2752.028,2752.974
1730453400.0,2752.974,2753.018,2747.854,2750.995
1730454300.0,2750.975,2752.485,2749.845,2751.255
1730455200.0,2751.255,2751.735,2750.225,2750.295
1730456100.0,2750.295,2750.595,2747.155,2747.245
1730457000.0,2747.265,2748.215,2744.685,2746.905
1730457900.0,2746.915,2750.075,2746.545,2749.515
1730458800.0,2749.535,2752.945,2749.535,2751.485
1730459700.0,2751.485,2753.985,2751.275,2752.195
1730460600.0,2752.195,2753.315,2751.525,2752.815
1730461500.0,2752.815,2753.725,2751.925,2752.795
1730462400.0,2752.815,2754.085,2751.535,2753.685
1730463300.0,2753.725,2754.515,2748.938,2748.938
1730464200.0,2749.208,2759.725,2747.985,2755.825
1730465100.0,2755.795,2758.405,2752.698,2753.688
1730466000.0,2753.635,2761.345,2753.494,2760.935
1730466900.0,2760.935,2762.048,2753.178,2753.535
1730467800.0,2753.565,2759.415,2751.995,2758.185
1730468700.0,2758.215,2759.345,2755.458,2755.458
1730469600.0,2755.778,2758.728,2753.008,2756.505
1730470500.0,2756.495,2756.865,2747.918,2751.655
1730471400.0,2751.655,2752.625,2739.575,2739.718
1730472300.0,2739.718,2747.495,2739.654,2747.105
1730473200.0,2747.215,2748.165,2742.448,2747.385
1730474100.0,2747.335,2750.145,2747.015,2750.145
1730475000.0,2750.145,2750.155,2746.085,2746.445
1730475900.0,2746.435,2746.648,2742.635,2744.635
1730476800.0,2744.625,2746.005,2742.565,2743.225
1730477700.0,2743.195,2744.425,2742.485,2743.465
1730478600.0,2743.465,2745.145,2740.735,2741.195
1730479500.0,2741.165,2743.285,2740.335,2743.005
1730480400.0,2743.005,2743.785,2741.475,2742.145
1730481300.0,2742.165,2742.645,2739.075,2739.795
1730482200.0,2739.795,2739.815,2735.335,2735.515
1730483100.0,2735.535,2737.715,2734.985,2736.215
1730484000.0,2736.178,2736.815,2733.885,2734.565
1730484900.0,2734.605,2737.915,2733.405,2737.165
1730485800.0,2737.165,2737.895,2735.915,2736.665
1730486700.0,2736.665,2737.605,2735.945,2736.085
1730487600.0,2736.115,2736.935,2734.065,2736.485
1730488500.0,2736.485,2736.625,2733.095,2733.475
1730489400.0,2733.445,2735.725,2733.445,2735.095
1730490300.0,2735.125,2735.235,2733.395,2734.035
1730491200.0,2734.025,2734.785,2733.355,2734.565
1730492100.0,2734.575,2734.628,2733.168,2734.425
1730493000.0,2734.415,2734.945,2733.635,2734.405
1730493900.0,2734.505,2736.675,2734.305,2735.895
1730674800.0,2733.298,2739.275,2730.0,2736.545
1730675700.0,2736.565,2739.355,2736.135,2739.105
1730676600.0,2739.125,2740.215,2737.685,2739.545
1730677500.0,2739.515,2739.825,2738.085,2738.235
1730678400.0,2738.205,2739.815,2737.065,2737.715
1730679300.0,2737.705,2739.595,2736.835,2739.425
1730680200.0,2739.395,2739.395,2737.865,2738.365
1730681100.0,2738.365,2740.814,2738.365,2740.235
1730682000.0,2740.215,2741.198,2735.185,2736.565
1730682900.0,2736.545,2739.165,2736.385,2737.975
1730683800.0,2737.905,2739.745,2737.225,2738.125
1730684700.0,2738.125,2741.065,2737.475,2739.775
1730685600.0,2739.775,2740.885,2737.975,2738.015
1730686500.0,2738.015,2739.015,2736.845,2738.365
1730687400.0,2738.365,2739.275,2737.015,2738.925
1730688300.0,2738.935,2740.378,2738.054,2739.778
1730689200.0,2739.765,2741.945,2739.195,2741.855
1730690100.0,2741.915,2742.185,2740.075,2742.045
1730691000.0,2742.015,2742.315,2740.385,2741.175
1730691900.0,2741.155,2741.275,2740.305,2740.845
1730692800.0,2740.825,2741.895,2740.335,2741.155
1730693700.0,2741.155,2741.255,2739.595,2739.705
1730694600.0,2739.705,2741.845,2739.585,2741.625
1730695500.0,2741.645,2742.085,2740.655,2740.905
1730696400.0,2740.905,2742.695,2739.885,2742.615
1730697300.0,2742.635,2743.585,2740.725,2740.875
1730698200.0,2740.875,2740.905,2738.284,2739.205
1730699100.0,2739.215,2741.435,2737.554,2741.415
1730700000.0,2741.444,2741.465,2737.365,2737.764
1730700900.0,2737.804,2738.394,2735.634,2738.218
1730701800.0,2738.215,2738.505,2736.915,2737.905
1730702700.0,2737.908,2741.335,2737.425,2741.265
1730703600.0,2741.265,2744.675,2740.595,2742.595
1730704500.0,2742.595,2743.045,2739.485,2739.755
1730705400.0,2739.705,2740.325,2737.988,2737.998
1730706300.0,2737.995,2737.995,2735.008,2735.695
1730707200.0,2735.685,2737.105,2734.145,2735.725
1730708100.0,2735.685,2736.215,2733.745,2735.595
1730709000.0,2735.615,2738.388,2734.605,2736.435
1730709900.0,2736.424,2736.945,2731.765,2733.225
1730710800.0,2733.215,2734.878,2732.435,2733.715
1730711700.0,2733.725,2741.618,2733.725,2741.055
1730712600.0,2741.025,2743.115,2740.605,2740.605
1730713500.0,2740.645,2743.935,2739.515,2743.195
1730714400.0,2743.215,2745.105,2742.215,2744.405
1730715300.0,2744.425,2744.435,2741.085,2741.858
1730716200.0,2741.844,2742.285,2740.095,2740.885
1730717100.0,2740.885,2741.095,2737.098,2738.425
1730718000.0,2738.415,2739.955,2736.915,2737.765
1730718900.0,2737.765,2738.355,2736.344,2737.695
1730719800.0,2737.695,2740.655,2737.558,2739.205
1730720700.0,2739.185,2740.865,2739.015,2740.515
1730721600.0,2740.515,2743.018,2740.055,2740.695
1730722500.0,2740.705,2742.005,2739.648,2740.125
1730723400.0,2740.125,2742.065,2739.405,2741.895
1730724300.0,2741.875,2743.935,2741.855,2743.265
1730725200.0,2743.265,2744.388,2741.985,2744.005
1730726100.0,2744.015,2744.725,2739.725,2740.525
1730727000.0,2740.515,2744.855,2738.615,2744.485
1730727900.0,2744.485,2746.675,2744.105,2746.625
1730728800.0,2746.625,2748.015,2745.105,2745.765
1730729700.0,2745.745,2746.035,2742.095,2742.705
1730730600.0,2742.675,2745.445,2737.765,2745.305
1730731500.0,2745.308,2745.498,2740.678,2743.055
1730732400.0,2743.055,2744.885,2741.125,2744.395
1730733300.0,2744.415,2745.445,2741.335,2741.525
1730734200.0,2741.515,2742.495,2738.0,2741.415
1730735100.0,2741.415,2741.575,2737.565,2738.385
1730736000.0,2738.385,2738.785,2735.074,2735.355
1730736900.0,2735.318,2738.105,2734.685,2737.745
1730737800.0,2737.715,2738.815,2734.945,2735.108
1730738700.0,2735.135,2735.528,2732.195,2734.085
1730739600.0,2734.095,2735.045,2731.638,2734.525
1730740500.0,2734.555,2737.875,2733.915,2737.445
1730741400.0,2737.445,2737.885,2735.655,2736.185
1730742300.0,2736.185,2738.325,2735.095,2738.275
1730743200.0,2738.275,2738.535,2735.475,2736.975
1730744100.0,2736.945,2738.455,2736.415,2736.688
1730745000.0,2736.675,2739.115,2736.285,2737.828
1730745900.0,2737.825,2738.265,2736.925,2738.105
1730746800.0,2738.135,2739.295,2737.514,2737.965
1730747700.0,2737.965,2738.615,2737.315,2737.448
1730748600.0,2737.465,2739.558,2737.115,2738.668
1730749500.0,2738.665,2739.375,2738.115,2738.178
1730750400.0,2738.154,2738.175,2736.225,2736.795
1730751300.0,2736.795,2738.358,2736.425,2738.175
1730752200.0,2738.148,2738.495,2736.228,2737.125
1730753100.0,2737.135,2737.798,2736.398,2737.288
1730754000.0,2737.268,2737.535,2736.358,2736.518
1730754900.0,2736.475,2736.538,2735.805,2736.155
1730755800.0,2736.178,2736.918,2735.965,2736.035
1730756700.0,2736.015,2736.518,2735.915,2736.225
1730761200.0,2735.698,2737.755,2735.698,2737.255
1730762100.0,2737.205,2737.205,2736.535,2736.685
1730763000.0,2736.665,2736.855,2736.285,2736.798
1730763900.0,2736.828,2737.238,2735.855,2735.855
1730764800.0,2735.895,2736.035,2733.934,2734.308
1730765700.0,2734.308,2736.425,2733.908,2736.315
1730766600.0,2736.295,2736.515,2735.295,2736.025
1730767500.0,2736.035,2736.508,2734.825,2734.955
1730768400.0,2734.935,2735.545,2733.885,2734.145
1730769300.0,2734.145,2735.185,2732.845,2733.575
1730770200.0,2733.635,2735.055,2732.815,2733.655
1730771100.0,2733.705,2736.025,2732.938,2734.045
1730772000.0,2734.035,2735.185,2732.998,2734.725
1730772900.0,2734.725,2735.075,2733.335,2733.915
1730773800.0,2733.945,2734.625,2725.545,2726.195
1730774700.0,2726.155,2728.855,2724.695,2728.345
1730775600.0,2728.345,2730.605,2727.915,2729.195
